FT911-3928,976,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FBIS4-60476,-1,-1,-1,-1,933,961,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,861,861,-1,790,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,575,581,712,696,759,-1,-1,-1
FR940104-0-00079,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,850,850,850,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,454,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LA052189-0144,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,893,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FR940104-0-00072,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,412,412,412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,858,858,-1,-1,-1,-1,-1,-1,-1,-1
FR940104-0-00071,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,612,612,612,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,984,366,366,-1,-1,-1,-1,-1,-1,-1,-1
FR940104-0-00070,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,568,568,-1,-1,-1,-1,-1,-1,-1,-1
FR940104-0-00076,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,427,-1,-1
LA032089-0010,-1,-1,628,854,771,804,-1,-1,428,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,228,228,173,185,-1,775,552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LA032089-0012,-1,-1,-1,-1,-1,-1,222,168,-1,-1,-1,-1,581,581,581,136,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,900,-1,974,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FT921-16369,-1,880,-1,788,668,769,-1,-1,-1,-1,-1,540,-1,-1,-1,-1,-1,298,298,318,287,475,475,502,422,-1,-1,-1,-1,-1,-1,749,-1,-1,250,242,235,245,198,144,331,153
LA120290-0060,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,817,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LA072589-0097,-1,-1,-1,-1,-1,-1,-1,-1,-1,236,174,196,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LA061089-0018,926,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,987,987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FBIS4-33001,-1,-1,-1,-1,-1,-1,-1,-1,-1,977,769,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LA052790-0186,-1,-1,-1,-1,-1,-1,308,670,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LA010589-0022,-1,-1,-1,-1,-1,-1,-1,-1,-1,745,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,695,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LA091090-0050,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,593,317,949,626,626,-1,-1,-1,-1,-1,-1,-1,-1
FR940323-0-00050,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,976,-1,-1
FBIS3-33679,-1,-1,-1,-1,879,921,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,226,226,252,216,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LA022489-0097,-1,-1,-1,-1,-1,-1,-1,-1,-1,784,612,786,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FT943-296,-1,-1,-1,-1,-1,-1,-1,-1,-1,722,571,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FBIS4-12350,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,699,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LA092089-0104,-1,-1,-1,-1,-1,-1,-1,-1,-1,620,488,582,446,446,446,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,358,-1,-1,-1,852,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FBIS3-39534,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,247,302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FBIS4-21783,-1,193,242,615,599,536,70,124,226,-1,-1,-1,352,352,352,-1,-1,923,923,690,713,83,83,66,69,-1,948,528,997,-1,-1,542,-1,-1,626,612,645,572,681,-1,-1,-1
