FT924-5800,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,966,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FT921-1237,-1,-1,-1,-1,-1,-1,-1,-1,-1,261,-1,501,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FT931-15501,-1,691,674,-1,-1,962,-1,-1,-1,521,367,448,-1,-1,-1,-1,-1,-1,-1,-1,-1,776,776,856,732,679,206,898,-1,-1,534,-1,-1,-1,-1,-1,-1,-1,864,797,732,-1
FT931-15502,-1,-1,-1,568,474,363,840,731,-1,780,599,693,815,815,815,-1,-1,-1,-1,-1,-1,946,946,964,856,318,458,444,749,675,227,946,968,968,996,950,639,645,605,-1,-1,-1
FT933-15634,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FBIS3-36393,-1,-1,-1,-1,-1,-1,-1,-1,-1,880,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FT944-2034,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,971,936,-1
FT911-2033,730,422,406,321,157,137,472,-1,420,134,143,51,362,362,362,-1,-1,34,34,255,252,661,661,228,471,949,368,231,572,410,891,140,133,133,171,175,177,195,154,514,379,593
FT943-438,384,464,452,361,677,589,305,318,433,48,145,141,443,443,443,-1,-1,192,192,282,280,219,219,556,300,193,263,70,285,102,390,478,383,383,349,350,551,563,578,425,170,364
FT922-7886,42,510,567,528,734,-1,972,617,631,651,-1,196,756,756,756,-1,-1,344,344,37,38,-1,-1,-1,-1,-1,-1,-1,792,842,-1,658,562,562,84,89,68,76,87,52,277,29
FT922-11210,827,479,460,666,645,446,672,-1,532,321,207,266,582,582,582,-1,-1,142,142,399,381,290,290,480,299,-1,729,488,425,435,150,364,330,330,782,792,526,561,386,691,504,728
FT942-2441,757,726,707,405,228,204,152,200,318,556,397,366,193,193,193,-1,-1,543,543,622,618,844,844,508,586,831,308,82,69,104,46,264,247,247,126,131,124,120,116,509,713,456
FT934-11416,-1,-1,-1,-1,852,-1,484,489,640,-1,-1,-1,984,984,984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,679,427,688,302,500,591,591,-1,-1,-1,-1,-1,-1,-1,656
FT934-11415,445,457,441,507,341,296,136,182,299,232,158,313,214,214,214,35,32,203,203,308,248,234,234,543,294,860,333,140,109,218,159,63,71,71,721,739,595,628,430,285,438,314
FT934-11413,-1,-1,-1,-1,-1,-1,530,221,911,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FT941-16647,723,870,853,551,362,344,416,386,575,859,663,774,195,195,195,188,200,622,622,711,693,615,615,725,624,353,370,248,273,499,164,347,418,418,740,753,584,608,629,463,970,505
FT941-16312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,961,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FT941-13144,-1,-1,-1,924,959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,872,902,836,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FT924-17,-1,-1,-1,-1,-1,-1,120,21,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FT941-4495,773,-1,-1,509,507,585,296,289,412,-1,874,-1,371,371,371,-1,-1,753,753,684,683,257,257,499,278,630,675,336,208,315,121,392,426,426,-1,-1,-1,-1,778,532,799,282
FT933-193,343,177,169,523,440,313,796,704,980,70,42,538,546,546,546,-1,-1,126,126,223,218,433,433,387,399,774,238,936,571,528,542,815,680,680,322,323,355,357,580,263,243,793
FT942-8563,-1,-1,-1,-1,-1,-1,702,622,-1,-1,-1,-1,-1,-1,-1,-1,-1,958,958,-1,949,-1,-1,-1,-1,-1,992,633,727,839,407,689,791,791,-1,-1,-1,-1,896,-1,-1,994
FT932-4752,709,399,386,940,906,740,809,709,977,220,148,165,596,596,596,-1,-1,528,528,639,635,729,729,822,722,488,84,291,478,408,89,668,642,642,978,971,-1,-1,968,464,450,923
FT944-16786,-1,-1,-1,-1,-1,-1,-1,995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,968,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FT934-16574,242,295,177,676,839,824,384,139,123,433,492,413,816,816,816,195,170,460,460,271,350,748,748,783,711,96,298,200,590,498,652,998,897,897,795,804,728,756,-1,104,130,91
LA022589-0011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FT943-980,913,551,528,407,274,203,156,185,268,412,275,349,117,117,117,-1,-1,237,237,309,299,209,209,545,274,946,284,73,176,248,195,274,262,262,507,514,388,383,433,676,585,695
FT944-16212,104,55,41,726,-1,-1,821,310,246,650,479,831,784,784,784,223,239,461,461,273,266,-1,-1,298,763,-1,-1,809,719,522,958,673,710,710,75,78,108,98,268,120,175,200
LA051090-0264,241,518,500,436,643,637,451,-1,247,429,289,381,407,407,407,-1,-1,152,152,183,181,321,321,872,580,296,534,246,604,345,450,296,252,252,232,242,512,491,231,321,273,185
FT922-6627,390,194,199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,991,991,868,-1,291,291,231,216,-1,826,-1,-1,-1,-1,-1,-1,-1,-1,-1,697,624,856,218,455,773
FT942-11784,131,167,190,131,121,156,302,124,147,753,581,293,614,614,614,190,206,145,145,162,165,244,244,118,139,-1,395,201,260,108,855,49,96,96,21,22,31,32,40,90,549,60
FT934-11257,-1,-1,-1,975,-1,-1,-1,-1,-1,-1,-1,-1,974,974,974,-1,-1,-1,-1,-1,-1,558,558,-1,-1,-1,-1,-1,960,-1,812,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FT932-2545,-1,782,764,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,785,785,871,739,-1,537,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,924,-1
FBIS3-29180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,559,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FT934-9649,613,-1,-1,931,644,729,529,488,704,-1,900,-1,654,654,654,-1,-1,881,881,966,826,935,935,-1,-1,-1,569,370,384,644,357,413,477,477,991,-1,-1,-1,915,819,-1,606
FBIS3-18343,-1,-1,-1,-1,872,914,520,-1,368,-1,-1,-1,858,858,858,-1,-1,822,822,886,662,886,886,-1,-1,-1,793,416,676,-1,555,322,423,423,-1,-1,-1,-1,-1,-1,817,841
FBIS3-18342,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,894,944,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FBIS3-18345,-1,-1,-1,883,-1,-1,-1,-1,-1,954,-1,-1,-1,-1,-1,-1,-1,934,934,936,907,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,774,759,759,-1,-1,-1,-1,-1,944,329,963
FT924-8049,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,923,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FT932-2181,-1,-1,-1,765,823,912,434,504,560,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,278,-1,907,-1,-1,-1,-1,-1,-1,762,781,662,704,373,-1,-1,-1
FT943-2327,777,945,927,531,283,328,516,473,865,657,490,540,879,879,879,-1,-1,771,771,761,755,847,847,527,589,849,328,228,151,255,96,340,405,405,230,234,167,171,162,479,935,508
FT944-5205,-1,-1,-1,-1,-1,-1,-1,872,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LA112590-0015,-1,-1,-1,-1,-1,-1,945,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,828,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FT923-6187,549,565,541,444,576,609,-1,-1,-1,169,222,153,233,233,233,-1,-1,524,524,375,360,231,231,457,258,415,799,-1,-1,-1,-1,-1,-1,-1,-1,-1,927,939,-1,181,214,555
FBIS4-68439,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,723
FT924-14852,760,-1,-1,758,941,-1,897,-1,672,660,943,807,994,994,994,-1,-1,662,662,745,747,872,872,-1,-1,-1,-1,920,563,471,796,595,564,564,815,827,581,566,494,931,940,376
FT942-14283,-1,475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,867,-1,-1,-1,811,916,645,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,933,902,-1,-1,-1,-1
FT942-14280,67,109,82,174,48,131,150,75,81,318,338,97,177,177,177,108,119,43,43,43,47,125,125,241,140,216,171,57,9,24,50,95,90,90,24,24,24,23,18,23,174,19
FT942-14281,593,-1,-1,491,332,-1,924,804,-1,778,-1,295,917,917,917,-1,-1,665,665,523,515,-1,-1,-1,-1,140,312,361,522,618,-1,687,578,578,216,203,186,191,290,-1,-1,284
FT941-5617,280,317,310,164,232,250,54,93,159,59,87,80,141,141,141,-1,-1,61,61,70,73,159,159,485,240,28,61,13,103,172,23,73,55,55,248,255,391,418,557,167,82,216
FT923-7639,647,365,352,-1,-1,-1,-1,-1,-1,290,190,252,-1,-1,-1,-1,-1,990,990,-1,-1,247,247,270,203,-1,746,-1,-1,-1,-1,-1,-1,-1,844,844,944,952,758,539,406,-1
FT941-15067,310,163,153,-1,-1,-1,-1,-1,-1,515,362,452,-1,-1,-1,-1,-1,-1,-1,-1,-1,653,653,673,643,483,107,-1,-1,-1,-1,-1,-1,-1,676,665,852,847,-1,656,491,-1
LA011089-0042,974,979,679,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,889,-1,808
FT941-15060,326,172,163,-1,-1,-1,-1,-1,-1,574,416,513,-1,-1,-1,-1,-1,-1,-1,-1,-1,682,682,680,659,482,106,-1,-1,-1,-1,-1,-1,-1,696,693,876,872,-1,613,468,-1
FT933-739,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FT933-738,-1,667,648,353,210,146,68,116,171,565,406,475,126,126,126,-1,-1,479,479,558,556,185,185,138,129,147,155,293,201,180,54,109,130,130,340,344,246,248,168,580,641,683
FT944-11821,-1,-1,-1,-1,-1,-1,-1,958,-1,-1,-1,-1,839,839,839,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FT931-908,9,0,0,608,467,395,60,27,26,167,111,143,53,53,53,32,40,352,352,48,53,170,170,151,132,256,6,16,345,309,116,403,305,305,408,418,534,527,810,22,23,55
FT921-15466,568,588,562,401,260,207,768,-1,529,501,347,428,301,301,301,-1,-1,283,283,441,431,680,680,400,528,-1,911,675,581,626,654,480,454,454,187,189,146,154,312,515,759,536
FT934-11322,354,835,817,88,63,56,135,172,222,637,757,772,171,171,171,-1,-1,219,219,279,273,163,163,222,156,321,842,509,172,293,106,104,150,150,413,426,335,377,296,393,645,189
FT944-3635,-1,-1,-1,-1,-1,-1,-1,957,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,889,835,-1,-1,-1,-1
FT932-6454,91,98,67,-1,-1,-1,432,98,77,-1,-1,830,846,846,846,-1,-1,389,389,116,116,-1,-1,-1,-1,-1,539,478,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,493,823,197
